clicks,impressions,avg_position,days,ctr_pct,impressions_per_day,month
5,109,8.415000000000001,20,4.59,5.4,2026-03
6,332,4.052380952380952,30,1.81,11.1,2026-04
19,703,5.382142857142857,31,2.7,22.7,2026-05
21,403,10.746666666666666,30,5.21,13.4,2026-06
26,411,14.458064516129031,31,6.33,13.3,2026-07
21,441,13.899999999999999,31,4.76,14.2,2026-08
12,250,8.454545454545455,11,4.8,22.7,2026-09
